new label;species label;genus label;family label;species;genus;family
149;149;74;33;Lacistema grandifolium Schnizl.;Lacistema;Lacistemataceae
150;150;74;33;Lacistema polystachyum Schnizl.;Lacistema;Lacistemataceae
151;151;75;34;Aegiphila macrantha Ducke;Aegiphila;Lamiaceae
152;152;75;34;Aegiphila villosa (Aubl.) J.F.Gmel.;Aegiphila;Lamiaceae
153;153;76;34;Amasonia campestris (Aubl.) Moldenke;Amasonia;Lamiaceae
154;154;77;34;Clerodendrum paniculatum L.;Clerodendrum;Lamiaceae
155;155;78;34;Congea tomentosa Roxb.;Congea;Lamiaceae
156;156;79;20;Pseudoxandra cuspidata Maas;Pseudoxandra;Annonaceae
157;157;80;34;Gmelina philippensis Cham.;Gmelina;Lamiaceae
158;158;81;34;Holmskioldia sanguinea Retz.;Holmskioldia;Lamiaceae
159;159;82;34;Hyptis lanceolata Poir.;Hyptis;Lamiaceae
160;160;83;20;Rollinia mucosa (Jacq.) Baill.;Rollinia;Annonaceae
161;161;82;34;Hyptis mutabilis (Rich.) Briq.;Hyptis;Lamiaceae
162;162;84;34;Marsypianthes chamaedrys (Vahl) Kuntze;Marsypianthes;Lamiaceae
163;163;85;20;Trigynaea caudata (R.E. Fr.) R.E. Fr.;Trigynaea;Annonaceae
164;164;85;20;Trigynaea duckei (R.E.Fr.) R.E.Fr.;Trigynaea;Annonaceae
165;165;86;20;Unonopsis glaucopetala R.E.Fr.;Unonopsis;Annonaceae
166;166;86;20;Unonopsis guatterioides (A.DC.) R.E.Fr.;Unonopsis;Annonaceae
167;167;86;20;Unonopsis perrottetii (A. DC.) R.E. Fr.;Unonopsis;Annonaceae
168;168;86;20;Unonopsis rufescens (Baill.) R.E. Fr.;Unonopsis;Annonaceae
169;169;87;34;Ocimum campechianum Mill.;Ocimum;Lamiaceae
170;170;86;20;Unonopsis stipitata Diels;Unonopsis;Annonaceae
171;171;88;34;Orthosiphon aristatus (Blume) Miq.;Orthosiphon;Lamiaceae
172;172;89;34;Plectranthus amboinicus (Lour.) Spreng.;Plectranthus;Lamiaceae
173;173;90;20;Xylopia aromatica (Lam.) Mart.;Xylopia;Annonaceae
174;174;90;20;Xylopia cayennensis Maas;Xylopia;Annonaceae
175;175;90;20;Xylopia crinita R.E.Fr.;Xylopia;Annonaceae
176;176;90;20;Xylopia frutescens Aubl.;Xylopia;Annonaceae
177;177;90;20;Xylopia nitida Dunal;Xylopia;Annonaceae
178;178;90;20;Xylopia surinamensis R.E. Fr.;Xylopia;Annonaceae
179;179;91;34;Vitex orinocensis Kunth;Vitex;Lamiaceae
180;180;92;35;Aiouea guianensis Aubl.;Aiouea;Lauraceae
181;181;92;35;Aiouea longipetiolata van der Werff;Aiouea;Lauraceae
182;182;92;35;Aiouea opaca van der Werff;Aiouea;Lauraceae
183;183;93;35;Aniba citrifolia (Nees) Mez;Aniba;Lauraceae
184;184;93;35;Aniba guianensis Aubl.;Aniba;Lauraceae
185;185;93;35;Aniba kappleri Mez;Aniba;Lauraceae
186;186;93;35;Aniba megaphylla Mez;Aniba;Lauraceae
187;187;93;35;Aniba panurensis (Meisn.) Mez;Aniba;Lauraceae
188;188;93;35;Aniba parviflora (Meisn.) Mez;Aniba;Lauraceae
189;189;93;35;Aniba taubertiana Mez;Aniba;Lauraceae
190;190;94;35;Endlicheria canescens Chanderbali;Endlicheria;Lauraceae
191;191;94;35;Endlicheria punctulata (Mez) C.K.Allen;Endlicheria;Lauraceae
192;192;94;35;Endlicheria pyriformis (Nees) Mez;Endlicheria;Lauraceae
193;193;95;35;Kubitzkia mezii (Kosterm.) van der Werff;Kubitzkia;Lauraceae
194;194;96;35;Licaria chrysophylla (Meisn.) Kosterm.;Licaria;Lauraceae
195;195;96;35;Licaria martiniana (Mez) Kosterm.;Licaria;Lauraceae
196;196;96;35;Licaria pachycarpa (Meisn.) Kosterm.;Licaria;Lauraceae
197;197;97;35;Nectandra amazonum Nees;Nectandra;Lauraceae
198;198;97;35;Nectandra cissiflora Nees;Nectandra;Lauraceae
199;199;98;35;Ocotea amazonica (Meisn.) Mez;Ocotea;Lauraceae
200;200;98;35;Ocotea argyrophylla Ducke;Ocotea;Lauraceae
201;201;98;35;Ocotea cernua (Nees) Mez;Ocotea;Lauraceae
202;202;98;35;Ocotea cinerea van der Werff;Ocotea;Lauraceae
203;203;98;35;Ocotea cujumary Mart.;Ocotea;Lauraceae
204;204;98;35;Ocotea diffusa van der Werff;Ocotea;Lauraceae
205;205;98;35;Ocotea floribunda (Sw.) Mez;Ocotea;Lauraceae
206;206;98;35;Ocotea glomerata (Nees) Mez;Ocotea;Lauraceae
207;207;98;35;Ocotea leucoxylon (Sw.) Laness.;Ocotea;Lauraceae
208;208;98;35;Ocotea longifolia Kunth;Ocotea;Lauraceae
209;209;98;35;Ocotea nigra Benoist;Ocotea;Lauraceae
210;210;98;35;Ocotea oblonga (Meisn.) Mez;Ocotea;Lauraceae
211;211;98;35;Ocotea percurrens Vicent.;Ocotea;Lauraceae
212;212;98;35;Ocotea puberula (Rich.) Nees;Ocotea;Lauraceae
213;213;98;35;Ocotea scabrella van der Werff;Ocotea;Lauraceae
214;214;98;35;Ocotea splendens (Meisn.) Baill.;Ocotea;Lauraceae
215;215;98;35;Ocotea subterminalis van der Werff;Ocotea;Lauraceae
216;216;99;35;Rhodostemonodaphne grandis (Mez) Rohwer;Rhodostemonodaphne;Lauraceae
217;217;100;36;Couratari guianensis Aubl.;Couratari;Lecythidaceae
218;218;100;36;Couratari multiflora (Sm.) Eyma;Couratari;Lecythidaceae
219;219;100;36;Couratari stellata A.C.Sm.;Couratari;Lecythidaceae
220;220;101;36;Eschweilera coriacea (DC.) S.A.Mori;Eschweilera;Lecythidaceae
221;221;101;36;Eschweilera decolorans Sandwith;Eschweilera;Lecythidaceae
222;222;101;36;Eschweilera grandiflora (Aubl.) Sandwith;Eschweilera;Lecythidaceae
223;223;101;36;Eschweilera micrantha (O.Berg) Miers;Eschweilera;Lecythidaceae
224;224;101;36;Eschweilera parviflora (Aubl.) Miers;Eschweilera;Lecythidaceae
225;225;101;36;Eschweilera pedicellata (Rich.) S.A.Mori;Eschweilera;Lecythidaceae
226;226;101;36;Eschweilera sagotiana Miers;Eschweilera;Lecythidaceae
227;227;101;36;Eschweilera squamata S.A.Mori;Eschweilera;Lecythidaceae
228;228;101;36;Eschweilera subglandulosa (Steud. ex O.Berg) Miers;Eschweilera;Lecythidaceae
229;229;102;36;Gustavia augusta L.;Gustavia;Lecythidaceae
230;230;102;36;Gustavia hexapetala (Aubl.) Sm.;Gustavia;Lecythidaceae
231;231;103;36;Lecythis chartacea O.Berg;Lecythis;Lecythidaceae
232;232;103;36;Lecythis corrugata Poit.;Lecythis;Lecythidaceae
233;233;103;36;Lecythis holcogyne (Sandwith) S.A.Mori;Lecythis;Lecythidaceae
234;234;103;36;Lecythis idatimon Aubl.;Lecythis;Lecythidaceae
235;235;103;36;Lecythis persistens Sagot;Lecythis;Lecythidaceae
236;236;103;36;Lecythis poiteaui O.Berg;Lecythis;Lecythidaceae
237;237;103;36;Lecythis zabucajo Aubl.;Lecythis;Lecythidaceae
238;238;104;37;Abarema gallorum Barneby & J.W.Grimes;Abarema;Leguminosae
239;239;104;37;Abarema jupunba (Willd.) Britton & Killip;Abarema;Leguminosae
240;240;105;37;Acacia mangium Willd.;Acacia;Leguminosae
241;241;105;37;Acacia tenuifolia (L.) Willd.;Acacia;Leguminosae
242;242;106;37;Alexa wachenheimii Benoist;Alexa;Leguminosae
243;243;107;37;Bauhinia guianensis Aubl.;Bauhinia;Leguminosae
244;244;108;37;Bocoa prouacensis Aubl.;Bocoa;Leguminosae
245;245;109;37;Caesalpinia pulcherrima (L.) Sw.;Caesalpinia;Leguminosae
246;246;110;37;Cajanus cajan (L.) Millsp.;Cajanus;Leguminosae
247;247;111;37;Calliandra surinamensis Benth.;Calliandra;Leguminosae
248;248;112;37;Cassia grandis L.f.;Cassia;Leguminosae
249;249;112;37;Cassia spruceana Benth.;Cassia;Leguminosae
250;250;113;37;Chamaecrista apoucouita (Aubl.) H.S.Irwin & Barneby;Chamaecrista;Leguminosae
251;251;113;37;Chamaecrista desvauxii (Collad.) Killip;Chamaecrista;Leguminosae
252;252;113;37;Chamaecrista diphylla (L.) Greene;Chamaecrista;Leguminosae
253;253;113;37;Chamaecrista nictitans (L.) Moench;Chamaecrista;Leguminosae
254;254;114;37;Clitoria sagotii Fantz;Clitoria;Leguminosae
255;255;115;37;Crotalaria retusa L.;Crotalaria;Leguminosae
256;256;116;37;Crudia bracteata Benth.;Crudia;Leguminosae
257;257;116;37;Crudia oblonga Benth.;Crudia;Leguminosae
258;258;116;37;Crudia tomentosa (Aubl.) J.F.Macbr.;Crudia;Leguminosae
259;259;117;37;Cynometra hostmanniana Tul.;Cynometra;Leguminosae
260;260;118;37;Dalbergia monetaria L.f.;Dalbergia;Leguminosae
261;261;119;38;Eryngium foetidum L.;Eryngium;Apiaceae
262;262;120;37;Dialium guianense (Aubl.) Sandwith;Dialium;Leguminosae
263;263;121;37;Dicorynia guianensis Amshoff;Dicorynia;Leguminosae
264;264;122;37;Dioclea guianensis Benth.;Dioclea;Leguminosae
265;265;122;37;Dioclea macrocarpa Huber;Dioclea;Leguminosae
266;266;123;37;Diplotropis purpurea (Rich.) Amshoff;Diplotropis;Leguminosae
267;267;124;37;Dussia discolor (Benth.) Amshoff;Dussia;Leguminosae
268;268;125;37;Entada polystachya (L.) DC.;Entada;Leguminosae
269;269;126;37;Enterolobium oldemanii Barneby & J.W.Grimes;Enterolobium;Leguminosae
270;270;127;37;Eperua falcata Aubl.;Eperua;Leguminosae
271;271;127;37;Eperua rubiginosa Miq.;Eperua;Leguminosae
272;272;128;37;Erythrina fusca Lour.;Erythrina;Leguminosae
273;273;129;37;Hymenaea courbaril L.;Hymenaea;Leguminosae
274;274;130;37;Inga acrocephala Steud.;Inga;Leguminosae
275;275;130;37;Inga alata Benoist;Inga;Leguminosae
276;276;130;37;Inga alba (Sw.) Willd.;Inga;Leguminosae
277;277;130;37;Inga capitata Desv.;Inga;Leguminosae
278;278;130;37;Inga edulis Mart.;Inga;Leguminosae
279;279;130;37;Inga fanchoniana Poncy;Inga;Leguminosae
280;280;130;37;Inga huberi Ducke;Inga;Leguminosae
281;281;130;37;Inga ingoides (Rich.) Willd.;Inga;Leguminosae
282;282;130;37;Inga jenmanii Sandwith;Inga;Leguminosae
283;283;130;37;Inga lateriflora Miq.;Inga;Leguminosae
284;284;130;37;Inga nobilis Willd.;Inga;Leguminosae
285;285;130;37;Inga nouragensis Poncy;Inga;Leguminosae
286;286;130;37;Inga paraensis Ducke;Inga;Leguminosae
287;287;130;37;Inga pezizifera Benth.;Inga;Leguminosae
288;288;130;37;Inga pilosula (Rich.) J.F.Macbr.;Inga;Leguminosae
289;289;130;37;Inga poeppigiana Benth.;Inga;Leguminosae
290;290;130;37;Inga retinocarpa Poncy;Inga;Leguminosae
291;291;130;37;Inga sarmentosa Glaz. ex Harms;Inga;Leguminosae
292;292;130;37;Inga sertulifera DC.;Inga;Leguminosae
293;293;130;37;Inga striata Benth.;Inga;Leguminosae
294;294;130;37;Inga thibaudiana DC.;Inga;Leguminosae
295;295;131;37;Machaerium lunatum (L.f.) Ducke;Machaerium;Leguminosae
296;296;132;37;Macrolobium acaciifolium (Benth.) Benth.;Macrolobium;Leguminosae
297;297;132;37;Macrolobium bifolium (Aubl.) Pers.;Macrolobium;Leguminosae
298;298;133;37;Mimosa guilandinae (DC.) Barneby;Mimosa;Leguminosae
299;299;133;37;Mimosa pigra L.;Mimosa;Leguminosae
300;300;133;37;Mimosa pudica L.;Mimosa;Leguminosae
301;301;134;37;Mucuna sloanei Fawc. & Rendle;Mucuna;Leguminosae
302;302;135;37;Ormosia coccinea (Aubl.) Jacks.;Ormosia;Leguminosae
303;303;135;37;Ormosia costulata (Miq.) Kleinhoonte;Ormosia;Leguminosae
304;304;135;37;Ormosia melanocarpa Kleinhoonte;Ormosia;Leguminosae
305;305;135;37;Ormosia paraensis Ducke;Ormosia;Leguminosae
306;306;136;37;Paramachaerium ormosioides (Ducke) Ducke;Paramachaerium;Leguminosae
307;307;137;37;Parkia nitida Miq.;Parkia;Leguminosae
308;308;137;37;Parkia ulei (Harms) Kuhlm.;Parkia;Leguminosae
309;309;137;37;Parkia velutina Benoist;Parkia;Leguminosae
310;310;138;37;Peltogyne lecointei Ducke;Peltogyne;Leguminosae
311;311;139;37;Pentaclethra macroloba (Willd.) Kuntze;Pentaclethra;Leguminosae
312;312;140;37;Poecilanthe effusa (Huber) Ducke;Poecilanthe;Leguminosae
313;313;140;37;Poecilanthe hostmannii (Benth.) Amshoff;Poecilanthe;Leguminosae
314;314;141;37;Pseudopiptadenia suaveolens (Miq.) J.W. Grimes;Pseudopiptadenia;Leguminosae
315;315;142;37;Pterocarpus officinalis Jacq.;Pterocarpus;Leguminosae
316;316;143;37;Sclerolobium guianense Benth.;Sclerolobium;Leguminosae
317;317;143;37;Sclerolobium melinonii Harms;Sclerolobium;Leguminosae
318;318;144;37;Senna alata (L.) Roxb.;Senna;Leguminosae
319;319;144;37;Senna chrysocarpa (Desv.) H.S.Irwin & Barneby;Senna;Leguminosae
320;320;144;37;Senna obtusifolia (L.) H.S.Irwin & Barneby;Senna;Leguminosae
321;321;144;37;Senna occidentalis (L.) Link;Senna;Leguminosae
322;322;145;37;Spirotropis longifolia (DC.) Baill.;Spirotropis;Leguminosae
323;323;146;37;Stryphnodendron guianense (Aubl.) Benth.;Stryphnodendron;Leguminosae
324;324;147;37;Swartzia aptera DC.;Swartzia;Leguminosae
325;325;147;37;Swartzia arborescens (Aubl.) Pittier;Swartzia;Leguminosae
326;326;147;37;Swartzia benthamiana Miq.;Swartzia;Leguminosae
327;327;147;37;Swartzia guianensis (Aubl.) Urb.;Swartzia;Leguminosae
328;328;147;37;Swartzia longicarpa Amshoff;Swartzia;Leguminosae
329;329;147;37;Swartzia panacoco (Aubl.) Cowan;Swartzia;Leguminosae
330;330;147;37;Swartzia polyphylla DC.;Swartzia;Leguminosae
331;331;148;37;Tachigali melanocarpa (Ducke) van der Werff;Tachigali;Leguminosae
332;332;148;37;Tachigali melinonii (Harms) Zarucchi & Herend.;Tachigali;Leguminosae
333;333;148;37;Tachigali paniculata Aubl.;Tachigali;Leguminosae
334;334;148;37;Tachigali paraensis (Huber) Barneby;Tachigali;Leguminosae
335;335;148;37;Tachigali richardiana Tul.;Tachigali;Leguminosae
336;336;149;37;Taralea oppositifolia Aubl.;Taralea;Leguminosae
337;337;150;37;Vatairea erythrocarpa (Ducke) Ducke;Vatairea;Leguminosae
338;338;151;37;Vouacapoua americana Aubl.;Vouacapoua;Leguminosae
339;339;152;37;Zygia racemosa (Ducke) Barneby & J.W. Grimes;Zygia;Leguminosae
340;340;152;37;Zygia sabatieri Barneby & J.W. Grimes;Zygia;Leguminosae
341;341;153;39;Utricularia foliosa L.;Utricularia;Lentibulariaceae
342;342;153;39;Utricularia hispida Lam.;Utricularia;Lentibulariaceae
343;343;153;39;Utricularia subulata L.;Utricularia;Lentibulariaceae
344;344;154;40;Lindernia crustacea (L.) F.Muell.;Lindernia;Linderniaceae
345;345;155;41;Lindsaea divaricata Klotzsch;Lindsaea;Lindsaeaceae
346;346;155;41;Lindsaea guianensis (Aubl.) Dryand.;Lindsaea;Lindsaeaceae
347;347;155;41;Lindsaea lancea (L.) Bedd.;Lindsaea;Lindsaeaceae
348;348;155;41;Lindsaea quadrangularis Raddi;Lindsaea;Lindsaeaceae
349;349;155;41;Lindsaea stricta (Sw.) Dryand.;Lindsaea;Lindsaeaceae
350;350;156;42;Spigelia anthelmia L.;Spigelia;Loganiaceae
351;351;156;42;Spigelia hamelioides Kunth;Spigelia;Loganiaceae
